_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_category_best_describes_this_project,what_category_best_describes_this_project:confidence,id,project_description,project_instructions,project_title,project_url,project_url_embed,what_category_best_describes_this_project_gold
2320623019,false,finalized,3,6/4/2019 19:36:50,Game,1.0,111977869,"Credit goes to Spyderblade and Osomon6000

But most importantly Jonbro (jonochrome)","Click on objects, find items, and trade with staff and students to get the key to the school and escape.

-- PLEASE DO NOT give away anything in the comments. But please DO say if you find a glitch.",Riddle Transfer 2- Ultra Scratch Edition (Original:2016),https://scratch.mit.edu/projects/111977869,https://scratch.mit.edu/projects/111977869/embed,
2320623020,false,finalized,3,6/4/2019 19:29:52,Slideshow,1.0,112218495,"Hey, should I do a Q&A? I'll answer any questions you have if you comment, as long as they aren't -too- personal.

","Heh, have some updates. Do NOT steal the music, please. Or my art. I count recolors as theft.

oh wow you guys still care about me after so long? :D


I am working on an AMV of one of my favorite songs, and contact me if I owe you a MAP part. I don't keep track well.














































































heh I 'borrowed' Ten's coat... i like the coat way too much.",Rachel(me) Isn't Dead,https://scratch.mit.edu/projects/112218495,https://scratch.mit.edu/projects/112218495/embed,
2320623022,false,finalized,3,6/4/2019 19:53:52,Animation,1.0,112199666,,XD,Breakfast in a nutshell,https://scratch.mit.edu/projects/112199666,https://scratch.mit.edu/projects/112199666/embed,
2320623023,false,finalized,5,6/4/2019 20:12:40,Animation,0.5987,110220198,,"Enjoy the cuteness by clicking the nyan cats and see what happens.
Sorry if the sound and the rainbows cut .",NYAN CAT,https://scratch.mit.edu/projects/110220198,https://scratch.mit.edu/projects/110220198/embed,
2320623024,false,in progress,2,"",Game,1.0,12651053,,Use your mouse.,MouseSquare,https://scratch.mit.edu/projects/12651053,https://scratch.mit.edu/projects/12651053/embed,
2320623025,false,in progress,2,"",Other,1.0,12758695,,"I made it in school after a field trip,we about 10 minutes until we had to go outside and play,so I made this.",Who Am I?,https://scratch.mit.edu/projects/12758695,https://scratch.mit.edu/projects/12758695/embed,
2320623026,false,finalized,3,6/4/2019 19:25:24,Game,1.0,12573409,,"Left ,right,up,and down arrows to move.You think this is the end !? Make sure to check out Marvelous Man lost in space!",Marvelous Man,https://scratch.mit.edu/projects/12573409,https://scratch.mit.edu/projects/12573409/embed,
2320623027,false,in progress,2,"",Game,1.0,173417951,"Flappy Bird Scratch Edition @2017
Rillgar Studios

All Rights Reserved.","Space - Bounce

Please give feedback. It will help make the game better.",Flappy Bird v0.99,https://scratch.mit.edu/projects/173417951,https://scratch.mit.edu/projects/173417951/embed,
2320623028,false,in progress,3,6/21/2019 21:08:09,Game,0.6649,117179369,"The song is called Popcorn.
Everything wuz by me except the song.","Drag your cursor over to the flag and engage its magical powers by clicking the flag.
Shoutout to @pottermania for winning my contest.
Space-bar for different styles
----------------------------------------------Gamemode-------------------------------
To activate gamemode, Press the space bar until there is nothing following your cursor. 
Once activated, There will be a weird cursor spawning in different places. You have to click it to score points. Every time you click, the cursor will spawn in different places. If the timer runs out, gamemode will be deactivated. ",Cursors,https://scratch.mit.edu/projects/117179369,https://scratch.mit.edu/projects/117179369/embed,
2320623029,false,in progress,2,"",Game,1.0,113923950,,"Hello this is my clicking test it is 5 seconds long ENJOY

TIP.
Flex you arm until it shakes.
put finger gently on the mouse.
take mouse off the table.
play then post score in comments 

please like this it took me long time to make so please leave a like thanks",clicking test 5 seconds. TEST YOUR MIGHT,https://scratch.mit.edu/projects/113923950,https://scratch.mit.edu/projects/113923950/embed,
2320623030,false,in progress,4,6/21/2019 21:04:25,Animation,0.502,106284220,thank you kewl999,"    ◀❤#Love❤▲★#Favorite★▲♛#Follow♛▶
▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣
*DISCLAIMER: None of this project is serious, and does not portray my views on the upcoming election.* 
I'm finally back to making projects!
#FeelTheBern
Press Green Flag a few times
Run Tim: Approx. 4 minutes
▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣
POLL FINISHED
WINNER: PRESIDENT WARS II*
*Popular vote does not determine what project I make next
▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣
Update 4/16/16:
#Working on New Collaboration, details will be announced soon
#@WillSmithFish has gone missing, presumably abducted by aliens
#Might go back to making shorts again
▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣▣
",President Wars: The Bern Strikes Back remix,https://scratch.mit.edu/projects/106284220,https://scratch.mit.edu/projects/106284220/embed,
2320623031,false,in progress,2,"",Animation,0.504,172224990,,"Buttons Complete:
A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X Y, Z, !, @, #, $, %, ^, &, * ( ) AND . AND , And KILL And very very
",Spiffy.EXE Buttons Very very Last Button In The World!!!! Ringo Will Kill You! remix,https://scratch.mit.edu/projects/172224990,https://scratch.mit.edu/projects/172224990/embed,
2320623032,false,finalized,5,6/4/2019 19:46:41,Animation,0.6019,118929745,"DOUBLE CLICK GREEN FLAG

@QueenKS for script… Thanks so much!
For @Cheesequake_Crew's upcoming Project",,Typewriter text engine for CC's new project,https://scratch.mit.edu/projects/118929745,https://scratch.mit.edu/projects/118929745/embed,
2320623033,false,finalized,3,6/4/2019 19:29:52,Animation,1.0,12910746,,USE THE ARROW KEYS TO MOVE THE DRUGGED BANANA AND PRESS SPACE TO CREATE A DIFFERED COLORED BANANA.,It's Always Peanut Butter Jelly Time,https://scratch.mit.edu/projects/12910746,https://scratch.mit.edu/projects/12910746/embed,
2320623035,false,in progress,2,"",Game,1.0,142103269,,two player game use wasd and arrows,POKEBATTLE!,https://scratch.mit.edu/projects/142103269,https://scratch.mit.edu/projects/142103269/embed,
2320623036,false,finalized,5,6/4/2019 20:08:50,Other,0.4013,12953197,,,moon race,https://scratch.mit.edu/projects/12953197,https://scratch.mit.edu/projects/12953197/embed,
2320623037,false,finalized,3,6/4/2019 19:48:02,Animation,1.0,119907332,"NOTES
~ Remix this and add your OC as a licky!!!
~REMIX REMIX REMIX!!!!!!!!!!!!
~ When you remix PLEASE delete my thumbnail! Its part of MY ORIGANAL BRANDING!!!
~ Please only add 1 licky cat each time you remix

CREDTS
~ @thehorsewisperer, @lynxkitten101, and all others who participated!",,Add Your OC to the Licky Chain!!!,https://scratch.mit.edu/projects/119907332,https://scratch.mit.edu/projects/119907332/embed,
2320623038,false,in progress,4,6/21/2019 20:58:43,Other,0.749,217507997,,,Derivadas Básicas,https://scratch.mit.edu/projects/217507997,https://scratch.mit.edu/projects/217507997/embed,
2320623039,false,finalized,5,6/4/2019 19:53:52,Other,0.6019,12391492,,"Press the green flag and then press on whoever you think is better.

The cloud data log is REALLY messed up. why? because.",Who is better? lolwut.,https://scratch.mit.edu/projects/12391492,https://scratch.mit.edu/projects/12391492/embed,
2320623040,false,finalized,3,6/4/2019 19:56:57,Game,1.0,206234024,projeyi elimle yaptım.,"just move the mouse
press f
if you dont like 
press g

AND NEVER NEVER NEVER PRESS K!",Move The Mouse,https://scratch.mit.edu/projects/206234024,https://scratch.mit.edu/projects/206234024/embed,
2320623041,false,in progress,2,"",Game,1.0,137744450,,"Hello Neighbor Advanced Alpha is here!
=-=-=--=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-
W to move.
Move mouse and hold w to go forward.
Click to open doors.
Push objects by pushing against it.
Hold Q to run.
=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=--
Drag the neighbor to get him away.",Hello Neighbor | Advanced Alpha (V2.4),https://scratch.mit.edu/projects/137744450,https://scratch.mit.edu/projects/137744450/embed,
2320623042,false,finalized,3,6/4/2019 20:05:23,Game,1.0,139837223,"Become a Bottle Flipping PRO!!

Put in comments what bottles I should add.

Programmerstudio made VIP script

Just so you know... You never fail!!

REQUEST VIP ACCESS IN COMMENTS","Press space to flip.
----------------------------------------------------------------------------------------------------

Normal Cap bottle cost 10 flips and increases your flips earnings

",Flipping Tycoon,https://scratch.mit.edu/projects/139837223,https://scratch.mit.edu/projects/139837223/embed,
2320623043,false,finalized,3,6/4/2019 19:20:53,Game,1.0,12854299,LJ,"Use ARROW KEYS to move.
Avoid BATS and BEETLES.
Get to your HOUSE.
At your house you will have to dodge LIGHTNING.
If you touch the WIZARD, you win.
Press the GREEN FLAG twice to begin.",I woke up in a cave,https://scratch.mit.edu/projects/12854299,https://scratch.mit.edu/projects/12854299/embed,
2320623044,false,finalized,3,6/4/2019 19:22:03,Game,1.0,133681298,I just put music in there coz its cooler withnmusic,"PLEASE SUGGEST TO BE FEATURED!!!!!!!!!!!!!!!!

https://scratch.mit.edu/discuss/topic/198735/?page=289#post-2306940


Press Space to Bottle Flip!
1000 loves!!! YEEEEEEEEEEEEEEEEEEE!!!!!!!!!
Note cloud data is now working!
Cap = 5 points (it's hard)
PRESS C TO ACTIVATE CODES!!!
CODE LISTED IN NOTES AND CREDIT
Leader Board, (NOW IN GAME!)

1. @Pegasus2405 9824
2. @KP808 1880
3. @ComedySlamTV 133 (the bottles impossible to miss with 
basically) 
4. @cwkgianna6644  100
5.@johnbarsky  79
6. 

Capping Leader Board
1. @acduckii_rises
2. Me 17 times 
3. Project_1001 3 times ",Bottle Flipping simulator,https://scratch.mit.edu/projects/133681298,https://scratch.mit.edu/projects/133681298/embed,
2320623045,false,finalized,3,6/4/2019 20:13:33,Animation,1.0,143476939,Still haven't made Alola Spoofs #2,Ok so this is a brand new series called Alola Spoofs so just click the flag!,Dragon Born! |Alola Spoofs #1|,https://scratch.mit.edu/projects/143476939,https://scratch.mit.edu/projects/143476939/embed,
2320623046,false,finalized,3,6/4/2019 19:24:14,Game,1.0,221604810,,"You are the farmer catching the falling pigs, grandma and potato.
Use the left arrow key to move left.
Use the right arrow key to move right",meow meow,https://scratch.mit.edu/projects/221604810,https://scratch.mit.edu/projects/221604810/embed,
2320623047,false,in progress,2,"",Animation,1.0,12776537,,,Add yourself escaping the Jurassic Park remix-3,https://scratch.mit.edu/projects/12776537,https://scratch.mit.edu/projects/12776537/embed,
2320623048,false,finalized,3,6/4/2019 19:46:41,Other,1.0,12169258,,,360 noscope math problem solver,https://scratch.mit.edu/projects/12169258,https://scratch.mit.edu/projects/12169258/embed,
2320623049,false,finalized,3,6/4/2019 19:36:50,Game,1.0,200936312,"カービー  ダンス  

<('o'<) ^( '-' )^ (>'o')> v( '.' )v <(' .' )> <('.'<) ^( '.' )^ (>'.')> v( '.' )v <(' .' )>  <(^v^)>


if you want to see extra details that didn't make the final cut look in the code

end bit by @TechKidPeople
favorite settings are 1 angle and 3 speed.

I followed a quiz video and made it Kirby themed. 
 which took me 140 hours of coding total to finish
thanks @Muymik123 for giving me ideas for costumes.
thank you @CloudTower50 for some songs
( ͡° ͜ʖ ͡°)   @MasahiroSakurai for making Kirby.
also
(·̿Ĺ̯·̿ ̿) notice me senpai.


the final battle has some bugs though I'm trying to fix them. If it happens just restart. Thanks, and enjoy.


if you have tips make a remix and post to tips for B pls. ","READ INSTRUCTIONS 
FIRST!!!
only true Kirby fans can beat this game on their first try this is a game of questions and answers.
Can you get all of them right? I think you can't
want to prove me wrong? 


Click the flag to start.
use A, B, or C to answer the questions.
type the letters not the actual answer
if you get the last one wrong restart


when in the fight
 Use W A S D to move 
space to attack
W to jump.
hold S to defend or use the arrow keys
during quiz if you get a question wrong just reset.  
if you die reset.
don't push two buttons at once glitch may occur. (trying to fix it)
don't push two buttons at once
at end mini game press space to erase picture",kirby trivia <(^v^)> original <(^v^)> ✧ ( ͡° ͜ʖ ͡°),https://scratch.mit.edu/projects/200936312,https://scratch.mit.edu/projects/200936312/embed,
2320623050,false,in progress,4,6/4/2019 20:15:16,Other,0.749,187083625,,,4B 23 Shooting game,https://scratch.mit.edu/projects/187083625,https://scratch.mit.edu/projects/187083625/embed,
2320623051,false,finalized,3,6/4/2019 20:08:26,Game,1.0,249755645,,,9E,https://scratch.mit.edu/projects/249755645,https://scratch.mit.edu/projects/249755645/embed,
2320623052,false,finalized,3,6/17/2019 18:54:53,Game,1.0,187063501,"Currently 7 levels, some are hard. This game took about 10 minutes to make. 

High score feature is added! I currently hold the record of 49 seconds.
Past highscore holders:
Seahawk623   5/22/18 - Current","Up arrow to go up, you will go down otherwise. Left and right arrows.",UFO flyer,https://scratch.mit.edu/projects/187063501,https://scratch.mit.edu/projects/187063501/embed,
2320623053,false,finalized,3,6/4/2019 20:02:32,Animation,1.0,288124073,"Sorry for the dumb animation :)

This is based of really weird meme so don't judge.",,He Need Some Milk,https://scratch.mit.edu/projects/288124073,https://scratch.mit.edu/projects/288124073/embed,
2320623054,false,in progress,2,"",Game,1.0,186718791,mario sprites and sounds from other projects.,test of a project.,mario test,https://scratch.mit.edu/projects/186718791,https://scratch.mit.edu/projects/186718791/embed,
2320623055,false,finalized,3,6/4/2019 19:32:08,Game,1.0,12345815,"Thanks to the Pong Starter project for help with troubleshooting rotation problems.

CS50, Fall 2013","Press space to begin the game.

Player one (green) uses the up and down arrows.
Player two (red) uses the W and S keys.

Press the green flag to reset the score.",Pong - Two Player,https://scratch.mit.edu/projects/12345815,https://scratch.mit.edu/projects/12345815/embed,
2320623056,false,finalized,3,6/4/2019 19:43:56,Game,1.0,12967151,see above /\,"Go to &quot;how to play&quot; to find instructions
This game was originally from scratchwhizz and I have made many changes and improvements. I couldn&#39;t get some of the game play code right so needed to inherit his original game, Hope you enjoy, thanks!",2 player soccer time,https://scratch.mit.edu/projects/12967151,https://scratch.mit.edu/projects/12967151/embed,
2320623058,false,in progress,2,"",Game,1.0,202080290,,"ⒽⒸⓅⓈ-ⓇⒾⒸⒽⒹⒺ | PLAY IN SMALL SCREEN |
Are you up for collecting jewels, finding secret passages and passing gates before time runs out? Welcome to Stone! The dungeon escape game! 
----------------------------------------------------------------------------------------------------
CONTROLS: Arrow keys to move.
INSTRUCTIONS: Collect coins the open certain gates to escape to the next room. Get blue jewels to gain some more points.",Stone Dungeon Escape remix,https://scratch.mit.edu/projects/202080290,https://scratch.mit.edu/projects/202080290/embed,
2320623059,false,finalized,3,6/4/2019 19:25:24,Game,1.0,12938283,,"**THIS IS JUST A BETA, AND DOES NOT REFLECT THE FINAL VERSION

Controls: Self-explanitory, lul.",Angry Birds: Dream Team,https://scratch.mit.edu/projects/12938283,https://scratch.mit.edu/projects/12938283/embed,
2320623060,false,finalized,3,6/4/2019 19:42:24,Game,1.0,12208598,"This is my first project, so unfortunately the background does not move. This project does not do some of the things I wanted it to. So unfortunately when you find the water you will need to refresh the page. Sorry. :(","When you approach a rock, press the spacebar to jump over it. Your objective is to find water",Wolf Run,https://scratch.mit.edu/projects/12208598,https://scratch.mit.edu/projects/12208598/embed,
2320623061,false,in progress,2,"",Game,0.504,12794058,iamafrog,,"Traveling Dress Up I- Drottningholm Palace, Drottningholm, Sweden remix",https://scratch.mit.edu/projects/12794058,https://scratch.mit.edu/projects/12794058/embed,
2320623062,false,finalized,3,6/4/2019 19:24:14,Animation,1.0,12216538,lol idk,unfinshed,Shadow's Hula Song remix,https://scratch.mit.edu/projects/12216538,https://scratch.mit.edu/projects/12216538/embed,
2320623063,false,finalized,3,6/4/2019 20:13:32,Other,1.0,102848870,Just a fun little project to test the capabilities of a crude AI!, Type to Talk to it! It remembers what you've said to it (while still in the session you opened it in) and picks a phrase out of the vocabulary it learns from you to say,Chatterbox,https://scratch.mit.edu/projects/102848870,https://scratch.mit.edu/projects/102848870/embed,
2320623064,false,finalized,3,6/4/2019 20:08:26,Animation,1.0,12150722,"credit to felipebross1 and scratchU8
",Flag,Sonic.exe remix,https://scratch.mit.edu/projects/12150722,https://scratch.mit.edu/projects/12150722/embed,
2320623065,false,finalized,5,6/4/2019 20:08:50,Animation,0.5987,176190491,"this is soooooooooooooooooo funny
that was not my voice it was glock9's voice he is my fowler  ",just listen and wait until u see the end apear,zombies and trolls,https://scratch.mit.edu/projects/176190491,https://scratch.mit.edu/projects/176190491/embed,
2320623066,false,finalized,3,6/4/2019 20:13:32,Game,1.0,12893482,I couldn&#39;t have made this without nintendo&#39;s &quot;Block-o&#39;s Big Adventure&quot; and jk101&#39;s &quot;framed&quot;. thanks!,"welcome to..........         MANGO RUSH!!!!          
 use arrow keys to move.   
to complete a level, get the mango(green eclipce).
don&#39;t touch purple.
good luck!",MANGO RUSH!!!!!!!!,https://scratch.mit.edu/projects/12893482,https://scratch.mit.edu/projects/12893482/embed,
2320623068,false,finalized,3,6/4/2019 19:56:57,Animation,1.0,12216705,,,Octopus Dance Party,https://scratch.mit.edu/projects/12216705,https://scratch.mit.edu/projects/12216705/embed,
2320623069,false,finalized,3,6/4/2019 19:33:07,Game,1.0,211780608,,,Unit 4 Project,https://scratch.mit.edu/projects/211780608,https://scratch.mit.edu/projects/211780608/embed,
2320623070,false,finalized,3,6/4/2019 19:25:24,Animation,1.0,133667198," thanks for mcrawfishy2003 for making it
music owned by cartoon network",Green Flag!,Teen Titans GO! Robin Dancing  lol remix,https://scratch.mit.edu/projects/133667198,https://scratch.mit.edu/projects/133667198/embed,
2320623071,false,finalized,3,6/4/2019 19:59:46,Game,1.0,12166391,,,Alien Shooter Game 2,https://scratch.mit.edu/projects/12166391,https://scratch.mit.edu/projects/12166391/embed,
2320623072,false,finalized,5,6/4/2019 19:56:57,Other,0.4013,12157235,Es parte del curso De Espectador a Programador,"primera vez que consigo que se muevan y hagan lo que tiene que hacer, pero sólo rebota si da en el centro del objeto, si no, no, algo habré hecho mal, pero no sé qué",gato-saca remix,https://scratch.mit.edu/projects/12157235,https://scratch.mit.edu/projects/12157235/embed,
2320623073,false,finalized,3,6/4/2019 19:42:56,Other,1.0,12924593,,"Just some bubbles....
Click to dispense.",Bubbles remix,https://scratch.mit.edu/projects/12924593,https://scratch.mit.edu/projects/12924593/embed,
2320623074,false,finalized,3,6/4/2019 20:00:26,Game,1.0,135745945,,"Chica has managed to overcome her dark side for a while! This is a one of the rare times it's safe to chat with her... have fun!

Animatronic names:
Chica (DUH!)
Bonnie
Freddy
Foxy
Golden Freddy

Once Chica allows you to look in her scrapbook, click on it to turn the page quickly, or it'll close. Don't look at the last page too long though!

Press the space bar for a FNAF Pizza!",Talk to Chica,https://scratch.mit.edu/projects/135745945,https://scratch.mit.edu/projects/135745945/embed,
